date;Sars;Coca-Cola;Darwin;The art market;air travel;isPartial
2022-01-01;11;3;53;0;13;False
2022-01-02;17;5;49;4;24;False
2022-01-03;12;2;63;0;20;False
2022-01-04;20;9;64;0;21;False
2022-01-05;22;5;54;0;30;False
2022-01-06;16;5;63;0;24;False
2022-01-07;15;7;56;0;25;False
2022-01-08;16;8;58;2;28;False
2022-01-09;9;4;68;0;21;False
2022-01-10;17;0;74;2;38;False
2022-01-11;16;3;59;0;31;False
2022-01-12;16;3;56;0;26;False
2022-01-13;23;3;66;0;39;False
2022-01-14;15;6;49;0;33;False
2022-01-15;11;6;60;0;26;False
2022-01-16;13;8;71;0;28;False
2022-01-17;6;3;75;4;25;False
2022-01-18;10;7;60;0;23;False
2022-01-19;12;8;55;0;29;False
2022-01-20;11;2;51;2;21;False
2022-01-21;9;8;57;0;15;False
2022-01-22;10;0;51;0;21;False
2022-01-23;15;6;50;0;27;False
2022-01-24;18;8;66;0;38;False
2022-01-25;17;0;63;0;19;False
2022-01-26;14;3;67;5;25;False
2022-01-27;12;3;76;0;28;False
2022-01-28;9;5;68;0;19;False
2022-01-29;9;0;48;3;23;False
2022-01-30;13;5;100;3;28;False
2022-01-31;14;7;93;3;32;False
