date;Matthew Canavan;Clive Palmer;Kosovo;Journalism books;air travel;isPartial
2022-01-01;0;0;23;0;34;False
2022-01-02;0;0;32;0;63;False
2022-01-03;0;0;20;0;51;False
2022-01-04;0;0;22;0;54;False
2022-01-05;0;0;43;0;77;False
2022-01-06;0;0;30;0;61;False
2022-01-07;0;0;14;8;63;False
2022-01-08;0;0;23;6;71;False
2022-01-09;0;4;45;0;55;False
2022-01-10;0;0;33;0;97;False
2022-01-11;0;0;27;4;79;False
2022-01-12;0;0;45;0;67;False
2022-01-13;0;6;47;0;100;False
2022-01-14;0;7;25;0;84;False
2022-01-15;0;0;40;10;66;False
2022-01-16;0;0;35;0;72;False
2022-01-17;0;0;49;0;65;False
2022-01-18;0;0;38;0;59;False
2022-01-19;0;0;22;0;74;False
2022-01-20;0;0;36;8;54;False
2022-01-21;0;0;33;6;38;False
2022-01-22;0;0;30;7;53;False
2022-01-23;0;0;30;0;69;False
2022-01-24;0;0;38;0;97;False
2022-01-25;0;4;35;0;49;False
2022-01-26;0;5;24;0;64;False
2022-01-27;0;0;34;0;71;False
2022-01-28;0;0;33;0;49;False
2022-01-29;0;0;20;0;60;False
2022-01-30;0;0;29;0;71;False
2022-01-31;0;0;36;0;82;False
