date;iraq;donald trump jr;ivanka trump;priti patel;air travel;isPartial
2022-01-01;55;0;2;12;12;False
2022-01-02;40;0;2;16;23;False
2022-01-03;41;2;7;8;19;False
2022-01-04;41;2;5;18;20;False
2022-01-05;43;0;3;7;28;False
2022-01-06;35;2;5;15;22;False
2022-01-07;36;3;0;18;23;False
2022-01-08;33;0;5;8;26;False
2022-01-09;38;2;0;18;20;False
2022-01-10;41;5;3;7;35;False
2022-01-11;29;2;2;13;29;False
2022-01-12;44;2;4;36;24;False
2022-01-13;41;0;0;47;36;False
2022-01-14;33;0;0;36;30;False
2022-01-15;36;0;3;16;24;False
2022-01-16;38;0;0;23;26;False
2022-01-17;33;0;3;43;24;False
2022-01-18;32;2;2;34;21;False
2022-01-19;33;2;6;33;27;False
2022-01-20;38;0;12;15;20;False
2022-01-21;33;0;13;20;14;False
2022-01-22;33;0;7;15;19;False
2022-01-23;48;0;4;30;25;False
2022-01-24;46;5;7;32;35;False
2022-01-25;36;2;2;17;18;False
2022-01-26;38;3;4;16;23;False
2022-01-27;70;0;3;16;26;False
2022-01-28;29;2;0;18;18;False
2022-01-29;41;0;3;100;22;False
2022-01-30;37;0;2;9;26;False
2022-01-31;32;4;0;24;30;False
