date;WikiLeaks;Extradition;Alejandro Jodorowsky;Dune;air travel;isPartial
2022-01-01;1;1;0;100;5;False
2022-01-02;1;2;0;95;9;False
2022-01-03;1;1;0;81;7;False
2022-01-04;2;1;0;55;7;False
2022-01-05;1;1;1;59;11;False
2022-01-06;0;2;1;58;8;False
2022-01-07;0;0;0;60;9;False
2022-01-08;0;2;0;85;10;False
2022-01-09;0;1;2;77;8;False
2022-01-10;1;1;0;53;13;False
2022-01-11;0;0;0;55;11;False
2022-01-12;2;2;1;54;9;False
2022-01-13;0;2;0;50;14;False
2022-01-14;2;2;0;49;11;False
2022-01-15;0;1;0;75;9;False
2022-01-16;1;1;0;69;10;False
2022-01-17;0;1;1;56;9;False
2022-01-18;2;0;0;53;8;False
2022-01-19;1;2;0;42;10;False
2022-01-20;2;1;1;48;7;False
2022-01-21;0;1;0;51;5;False
2022-01-22;2;1;0;72;7;False
2022-01-23;0;0;0;74;9;False
2022-01-24;1;4;0;56;13;False
2022-01-25;2;1;0;49;7;False
2022-01-26;1;2;0;50;9;False
2022-01-27;2;2;0;42;10;False
2022-01-28;2;2;0;53;7;False
2022-01-29;1;1;1;76;8;False
2022-01-30;1;0;0;59;10;False
2022-01-31;0;2;0;55;11;False
