date;Volodymyr Zelenskiy;Taiwan;Magazines;Ofcom;air travel;isPartial
2022-01-01;0;52;32;11;18;False
2022-01-02;0;42;56;17;33;False
2022-01-03;0;43;40;9;27;False
2022-01-04;0;46;38;23;28;False
2022-01-05;0;61;40;26;41;False
2022-01-06;0;47;49;16;32;False
2022-01-07;4;43;40;13;33;False
2022-01-08;0;49;56;14;38;False
2022-01-09;0;48;40;12;29;False
2022-01-10;0;56;55;25;51;False
2022-01-11;0;57;54;23;41;False
2022-01-12;0;45;53;19;35;False
2022-01-13;0;60;54;24;53;False
2022-01-14;0;54;45;17;44;False
2022-01-15;0;50;42;0;35;False
2022-01-16;0;45;33;8;38;False
2022-01-17;0;49;65;24;34;False
2022-01-18;0;47;49;19;31;False
2022-01-19;0;53;47;23;39;False
2022-01-20;0;60;50;21;28;False
2022-01-21;8;46;55;17;20;False
2022-01-22;3;43;36;15;28;False
2022-01-23;3;42;45;5;36;False
2022-01-24;0;100;59;30;51;False
2022-01-25;0;63;54;18;26;False
2022-01-26;0;61;31;24;34;False
2022-01-27;0;50;49;21;38;False
2022-01-28;0;64;51;22;26;False
2022-01-29;0;43;48;8;32;False
2022-01-30;0;45;31;15;38;False
2022-01-31;0;56;50;13;44;False
