date;coronavirus testing;nigeria;moderna;public health;air travel;isPartial
2022-01-01;2;20;17;7;2;False
2022-01-02;1;26;12;8;4;False
2022-01-03;3;21;17;10;3;False
2022-01-04;4;24;19;13;4;False
2022-01-05;2;25;23;12;5;False
2022-01-06;1;28;20;12;4;False
2022-01-07;1;27;21;8;4;False
2022-01-08;1;24;20;7;5;False
2022-01-09;0;31;15;9;3;False
2022-01-10;1;35;16;13;6;False
2022-01-11;1;100;14;10;4;False
2022-01-12;0;39;13;13;5;False
2022-01-13;1;30;15;15;6;False
2022-01-14;0;28;11;11;5;False
2022-01-15;1;60;11;6;5;False
2022-01-16;1;31;8;8;6;False
2022-01-17;1;26;8;11;3;False
2022-01-18;2;28;9;11;3;False
2022-01-19;1;48;7;10;5;False
2022-01-20;1;31;6;9;3;False
2022-01-21;1;29;8;9;3;False
2022-01-22;1;31;6;5;3;False
2022-01-23;0;93;5;8;5;False
2022-01-24;0;43;10;12;5;False
2022-01-25;1;28;7;12;3;False
2022-01-26;1;25;6;10;4;False
2022-01-27;1;26;6;10;4;False
2022-01-28;1;30;8;11;4;False
2022-01-29;2;25;5;4;3;False
2022-01-30;0;24;4;6;4;False
2022-01-31;0;28;5;12;5;False
