date;Electronic music;Lily James;Dominic West;Bradley Cooper;air travel;isPartial
2022-01-01;4;15;4;25;4;False
2022-01-02;3;9;2;20;11;False
2022-01-03;1;8;2;33;10;False
2022-01-04;3;7;0;13;12;False
2022-01-05;0;11;3;10;12;False
2022-01-06;3;27;0;12;10;False
2022-01-07;0;24;3;16;11;False
2022-01-08;7;16;3;21;12;False
2022-01-09;6;18;2;18;10;False
2022-01-10;6;17;3;8;16;False
2022-01-11;2;18;3;9;12;False
2022-01-12;3;11;3;11;13;False
2022-01-13;3;13;2;12;15;False
2022-01-14;4;12;1;12;14;False
2022-01-15;0;21;2;18;12;False
2022-01-16;3;17;3;18;13;False
2022-01-17;2;12;0;13;10;False
2022-01-18;3;5;2;9;11;False
2022-01-19;1;13;2;9;13;False
2022-01-20;3;23;1;10;9;False
2022-01-21;2;20;1;15;8;False
2022-01-22;0;12;4;22;8;False
2022-01-23;3;16;5;19;14;False
2022-01-24;2;18;4;17;15;False
2022-01-25;1;12;1;12;9;False
2022-01-26;2;43;0;12;11;False
2022-01-27;2;100;2;11;10;False
2022-01-28;1;43;4;14;10;False
2022-01-29;0;42;3;17;10;False
2022-01-30;2;37;3;12;13;False
2022-01-31;2;26;3;7;14;False
