date;massachusetts;berkshire;united nations;house of parliament;air travel;isPartial
2022-01-01;11;57;8;0;10;False
2022-01-02;18;71;5;5;19;False
2022-01-03;12;75;11;0;15;False
2022-01-04;23;87;13;3;16;False
2022-01-05;17;79;13;4;23;False
2022-01-06;13;69;12;4;18;False
2022-01-07;17;80;14;2;19;False
2022-01-08;11;71;9;3;21;False
2022-01-09;14;74;13;7;16;False
2022-01-10;16;90;22;4;29;False
2022-01-11;13;84;15;3;23;False
2022-01-12;13;83;16;10;20;False
2022-01-13;15;76;19;7;30;False
2022-01-14;9;66;14;2;25;False
2022-01-15;15;76;10;0;20;False
2022-01-16;14;78;20;0;21;False
2022-01-17;15;100;16;5;19;False
2022-01-18;15;78;15;6;18;False
2022-01-19;12;76;14;5;22;False
2022-01-20;12;79;11;7;16;False
2022-01-21;15;79;11;4;11;False
2022-01-22;12;68;15;3;16;False
2022-01-23;13;73;8;2;20;False
2022-01-24;16;96;18;5;29;False
2022-01-25;13;80;9;5;15;False
2022-01-26;13;81;12;4;19;False
2022-01-27;12;81;9;2;21;False
2022-01-28;10;79;10;6;15;False
2022-01-29;16;72;12;5;18;False
2022-01-30;15;66;20;0;21;False
2022-01-31;11;89;12;7;25;False
