date;Wifi;Lake District holidays;Adventure travel;Glamping;air travel;isPartial
2022-01-01;81;3;0;14;2;False
2022-01-02;87;2;1;14;4;False
2022-01-03;82;2;0;14;3;False
2022-01-04;96;2;0;16;3;False
2022-01-05;88;1;0;12;5;False
2022-01-06;83;1;0;9;4;False
2022-01-07;88;2;0;11;4;False
2022-01-08;88;1;0;12;4;False
2022-01-09;93;1;0;17;3;False
2022-01-10;96;2;0;16;6;False
2022-01-11;83;1;0;14;5;False
2022-01-12;84;0;0;14;4;False
2022-01-13;95;1;1;12;6;False
2022-01-14;81;1;0;13;5;False
2022-01-15;100;2;0;17;4;False
2022-01-16;94;3;0;18;4;False
2022-01-17;87;2;1;16;4;False
2022-01-18;82;1;0;14;4;False
2022-01-19;78;1;1;10;5;False
2022-01-20;81;1;1;11;3;False
2022-01-21;88;0;1;11;2;False
2022-01-22;84;1;0;17;3;False
2022-01-23;83;2;1;19;4;False
2022-01-24;97;1;1;16;6;False
2022-01-25;84;1;0;12;3;False
2022-01-26;84;1;1;13;4;False
2022-01-27;84;1;1;9;4;False
2022-01-28;85;1;0;13;3;False
2022-01-29;87;1;1;13;4;False
2022-01-30;82;1;0;15;4;False
2022-01-31;86;1;0;12;5;False
