date;Vegetarian food and drink;Rachel Reeves;Household bills;Austerity;air travel;isPartial
2022-01-01;0;9;6;15;34;False
2022-01-02;0;15;0;9;63;False
2022-01-03;0;16;0;18;51;False
2022-01-04;0;0;15;9;54;False
2022-01-05;0;11;0;0;77;False
2022-01-06;0;12;12;5;61;False
2022-01-07;0;12;10;10;63;False
2022-01-08;0;5;9;10;71;False
2022-01-09;0;37;8;17;55;False
2022-01-10;0;10;17;12;97;False
2022-01-11;0;14;5;27;79;False
2022-01-12;0;12;5;11;67;False
2022-01-13;0;0;8;0;100;False
2022-01-14;0;9;6;15;84;False
2022-01-15;0;5;0;10;66;False
2022-01-16;0;0;27;10;72;False
2022-01-17;0;0;7;5;65;False
2022-01-18;0;7;0;9;59;False
2022-01-19;0;17;7;15;74;False
2022-01-20;0;57;0;16;54;False
2022-01-21;0;17;6;8;38;False
2022-01-22;0;19;13;18;53;False
2022-01-23;0;22;5;21;69;False
2022-01-24;0;19;0;12;97;False
2022-01-25;0;0;0;22;49;False
2022-01-26;0;9;8;22;64;False
2022-01-27;0;10;0;16;71;False
2022-01-28;0;11;8;7;49;False
2022-01-29;0;0;0;11;60;False
2022-01-30;0;14;11;26;71;False
2022-01-31;0;17;6;19;82;False
