date;documentary photography;christmas;germany;zoos and zoology;air travel;isPartial
2022-01-01;0;100;8;0;0;False
2022-01-02;0;95;9;0;1;False
2022-01-03;0;89;9;0;1;False
2022-01-04;0;62;10;0;1;False
2022-01-05;0;53;10;0;1;False
2022-01-06;0;43;9;0;1;False
2022-01-07;0;37;9;0;1;False
2022-01-08;0;35;9;0;1;False
2022-01-09;0;32;10;0;1;False
2022-01-10;0;24;9;0;1;False
2022-01-11;0;20;10;0;1;False
2022-01-12;0;19;9;0;1;False
2022-01-13;0;21;10;0;1;False
2022-01-14;0;17;8;0;1;False
2022-01-15;0;21;9;0;1;False
2022-01-16;0;21;9;0;1;False
2022-01-17;0;16;9;0;1;False
2022-01-18;0;14;9;0;1;False
2022-01-19;0;13;9;0;1;False
2022-01-20;0;13;8;0;1;False
2022-01-21;0;13;9;0;0;False
2022-01-22;0;19;9;0;1;False
2022-01-23;0;16;8;0;1;False
2022-01-24;0;13;13;0;1;False
2022-01-25;0;11;11;0;1;False
2022-01-26;0;12;9;0;1;False
2022-01-27;0;11;9;0;1;False
2022-01-28;0;10;9;0;1;False
2022-01-29;0;13;8;0;1;False
2022-01-30;0;12;8;0;1;False
2022-01-31;0;10;9;0;1;False
