date;cardi b;john lennon;star hobson;rugby;air travel;isPartial
2022-01-01;2;3;0;37;1;False
2022-01-02;1;3;0;38;1;False
2022-01-03;1;2;0;28;1;False
2022-01-04;1;2;0;27;1;False
2022-01-05;1;1;0;28;1;False
2022-01-06;1;2;0;26;1;False
2022-01-07;2;1;0;34;1;False
2022-01-08;2;2;1;53;1;False
2022-01-09;1;2;0;45;1;False
2022-01-10;2;2;0;33;2;False
2022-01-11;1;1;0;35;1;False
2022-01-12;1;1;1;61;1;False
2022-01-13;1;2;1;43;2;False
2022-01-14;1;1;0;38;1;False
2022-01-15;1;2;0;75;1;False
2022-01-16;1;2;0;53;1;False
2022-01-17;1;1;0;33;1;False
2022-01-18;1;1;0;36;1;False
2022-01-19;1;1;0;33;1;False
2022-01-20;1;1;0;31;1;False
2022-01-21;1;2;0;44;1;False
2022-01-22;1;3;0;74;1;False
2022-01-23;1;2;0;63;1;False
2022-01-24;1;1;0;39;2;False
2022-01-25;3;2;1;33;1;False
2022-01-26;2;1;1;35;1;False
2022-01-27;1;1;0;36;1;False
2022-01-28;2;1;0;50;1;False
2022-01-29;1;1;0;100;1;False
2022-01-30;1;2;0;65;1;False
2022-01-31;1;2;0;41;1;False
