date;Homelessness;Language;Albania;Food;air travel;isPartial
2022-01-01;0;11;1;82;0;False
2022-01-02;0;13;1;98;1;False
2022-01-03;0;13;1;94;1;False
2022-01-04;0;17;1;87;1;False
2022-01-05;1;17;1;78;1;False
2022-01-06;0;16;1;79;1;False
2022-01-07;0;15;1;84;1;False
2022-01-08;0;13;1;90;1;False
2022-01-09;0;15;1;94;0;False
2022-01-10;0;18;1;86;1;False
2022-01-11;1;20;1;85;1;False
2022-01-12;1;19;1;84;1;False
2022-01-13;0;17;2;87;1;False
2022-01-14;0;15;1;76;1;False
2022-01-15;0;14;1;99;1;False
2022-01-16;0;17;1;100;1;False
2022-01-17;0;17;1;79;1;False
2022-01-18;0;18;1;80;1;False
2022-01-19;0;15;1;74;1;False
2022-01-20;0;16;1;80;1;False
2022-01-21;0;16;1;83;0;False
2022-01-22;0;14;1;94;1;False
2022-01-23;0;16;1;93;1;False
2022-01-24;0;22;2;94;1;False
2022-01-25;0;17;1;87;1;False
2022-01-26;0;17;1;79;1;False
2022-01-27;0;17;1;74;1;False
2022-01-28;0;17;1;83;1;False
2022-01-29;0;15;2;92;1;False
2022-01-30;0;17;1;94;1;False
2022-01-31;0;17;1;86;1;False
