date;Higher education;Race;Trees and forests;Biodiversity;air travel;isPartial
2022-01-01;1;90;0;0;2;False
2022-01-02;3;78;0;1;4;False
2022-01-03;3;61;0;1;3;False
2022-01-04;3;66;0;2;3;False
2022-01-05;2;65;0;2;5;False
2022-01-06;4;61;0;2;4;False
2022-01-07;4;77;0;2;4;False
2022-01-08;3;100;0;1;4;False
2022-01-09;3;87;1;2;3;False
2022-01-10;4;76;0;3;6;False
2022-01-11;5;74;0;4;5;False
2022-01-12;5;71;0;3;4;False
2022-01-13;5;70;1;2;6;False
2022-01-14;4;68;0;2;5;False
2022-01-15;2;86;1;1;4;False
2022-01-16;3;86;0;0;4;False
2022-01-17;5;81;0;4;4;False
2022-01-18;5;64;0;3;3;False
2022-01-19;4;56;0;3;4;False
2022-01-20;4;54;1;3;3;False
2022-01-21;3;64;0;3;2;False
2022-01-22;2;83;0;2;3;False
2022-01-23;3;79;0;2;4;False
2022-01-24;6;73;0;4;6;False
2022-01-25;4;67;0;4;3;False
2022-01-26;4;69;0;3;4;False
2022-01-27;3;65;0;3;4;False
2022-01-28;2;70;0;1;3;False
2022-01-29;2;84;0;1;4;False
2022-01-30;3;76;0;2;4;False
2022-01-31;4;70;0;3;5;False
