date;Country;Samantha Morton;Jonathan Pryce;Elbow;air travel;isPartial
2022-01-01;95;0;0;8;1;False
2022-01-02;91;0;0;8;2;False
2022-01-03;80;0;0;9;2;False
2022-01-04;81;1;0;8;2;False
2022-01-05;78;0;0;7;2;False
2022-01-06;77;0;0;9;2;False
2022-01-07;80;0;0;7;2;False
2022-01-08;90;1;0;6;2;False
2022-01-09;95;0;0;8;2;False
2022-01-10;91;0;0;9;3;False
2022-01-11;81;1;0;9;2;False
2022-01-12;76;2;0;8;2;False
2022-01-13;90;0;0;10;3;False
2022-01-14;80;1;1;8;3;False
2022-01-15;100;1;0;9;2;False
2022-01-16;99;1;0;8;2;False
2022-01-17;85;1;0;9;2;False
2022-01-18;78;0;0;8;2;False
2022-01-19;74;0;0;8;2;False
2022-01-20;77;0;0;9;2;False
2022-01-21;80;0;0;8;1;False
2022-01-22;90;1;0;9;2;False
2022-01-23;95;0;0;9;2;False
2022-01-24;99;0;0;11;3;False
2022-01-25;77;0;0;8;2;False
2022-01-26;77;0;0;9;2;False
2022-01-27;79;0;0;8;2;False
2022-01-28;80;0;0;9;2;False
2022-01-29;85;0;0;9;2;False
2022-01-30;82;0;0;7;2;False
2022-01-31;84;0;0;10;3;False
