date;gas;ecuador;volcano;kent;air travel;isPartial
2022-01-01;40;1;3;34;1;False
2022-01-02;44;1;4;35;1;False
2022-01-03;49;1;4;35;1;False
2022-01-04;76;1;3;39;1;False
2022-01-05;75;1;3;35;2;False
2022-01-06;79;1;3;36;1;False
2022-01-07;86;1;4;37;1;False
2022-01-08;59;1;4;34;1;False
2022-01-09;59;1;4;36;1;False
2022-01-10;87;1;4;41;2;False
2022-01-11;79;1;4;36;2;False
2022-01-12;79;1;4;37;1;False
2022-01-13;75;1;4;42;2;False
2022-01-14;60;1;4;35;2;False
2022-01-15;60;1;32;36;1;False
2022-01-16;59;1;31;41;1;False
2022-01-17;81;1;26;40;1;False
2022-01-18;69;1;17;39;1;False
2022-01-19;72;1;9;37;2;False
2022-01-20;73;1;10;37;1;False
2022-01-21;74;1;7;36;1;False
2022-01-22;56;1;6;36;1;False
2022-01-23;55;1;7;36;1;False
2022-01-24;100;1;6;42;2;False
2022-01-25;84;1;5;35;1;False
2022-01-26;69;1;5;38;1;False
2022-01-27;68;10;5;35;1;False
2022-01-28;65;6;4;36;1;False
2022-01-29;56;2;4;37;1;False
2022-01-30;55;1;5;33;1;False
2022-01-31;83;1;5;39;2;False
