date;Steven Gerrard;Zimbabwe football team;Guinea football team;Martin Shkreli;air travel;isPartial
2022-01-01;9;0;4;0;12;False
2022-01-02;31;0;0;0;22;False
2022-01-03;12;0;0;0;18;False
2022-01-04;16;0;0;3;19;False
2022-01-05;17;0;0;2;27;False
2022-01-06;18;3;2;6;22;False
2022-01-07;27;0;3;3;23;False
2022-01-08;27;0;4;0;25;False
2022-01-09;25;0;0;0;20;False
2022-01-10;100;0;0;0;35;False
2022-01-11;33;5;0;6;28;False
2022-01-12;14;4;4;0;24;False
2022-01-13;19;0;3;0;36;False
2022-01-14;12;0;4;9;30;False
2022-01-15;70;2;0;38;24;False
2022-01-16;36;0;4;2;26;False
2022-01-17;16;0;0;0;23;False
2022-01-18;14;2;2;0;21;False
2022-01-19;19;0;0;0;27;False
2022-01-20;16;0;0;3;19;False
2022-01-21;19;2;3;2;14;False
2022-01-22;59;0;2;0;19;False
2022-01-23;36;0;3;2;25;False
2022-01-24;18;3;3;0;35;False
2022-01-25;12;0;0;0;18;False
2022-01-26;18;4;0;0;23;False
2022-01-27;10;0;2;0;26;False
2022-01-28;17;1;4;0;18;False
2022-01-29;32;0;0;0;21;False
2022-01-30;15;2;8;2;26;False
2022-01-31;10;3;3;0;30;False
