date;Grand Theft Auto;US universities;Chicago Bulls;Michael Jordan;air travel;isPartial
2022-01-01;11;0;13;26;10;False
2022-01-02;11;7;19;28;18;False
2022-01-03;16;0;4;37;14;False
2022-01-04;11;2;9;19;15;False
2022-01-05;4;0;8;18;22;False
2022-01-06;11;0;7;18;17;False
2022-01-07;10;1;8;18;18;False
2022-01-08;13;0;14;100;20;False
2022-01-09;12;0;9;46;15;False
2022-01-10;8;2;9;23;27;False
2022-01-11;9;0;5;30;22;False
2022-01-12;9;2;7;22;19;False
2022-01-13;7;6;11;28;28;False
2022-01-14;5;9;6;25;24;False
2022-01-15;9;0;12;33;19;False
2022-01-16;9;0;7;29;20;False
2022-01-17;5;2;9;15;18;False
2022-01-18;5;0;5;22;17;False
2022-01-19;8;0;8;31;21;False
2022-01-20;10;2;6;24;15;False
2022-01-21;2;0;5;29;11;False
2022-01-22;11;0;7;37;15;False
2022-01-23;12;3;10;26;19;False
2022-01-24;6;0;9;29;27;False
2022-01-25;10;2;4;14;14;False
2022-01-26;4;6;6;16;18;False
2022-01-27;3;0;7;19;20;False
2022-01-28;9;2;6;24;14;False
2022-01-29;9;0;7;27;17;False
2022-01-30;7;2;9;23;20;False
2022-01-31;3;4;8;20;23;False
