date;New Zealand politics;Stephen Crabb;Virginia;Football violence;air travel;isPartial
2022-01-01;0;0;51;0;5;False
2022-01-02;2;2;46;0;9;False
2022-01-03;0;0;78;0;7;False
2022-01-04;1;0;78;0;8;False
2022-01-05;0;0;49;1;11;False
2022-01-06;0;0;33;0;9;False
2022-01-07;0;0;38;0;9;False
2022-01-08;1;1;38;1;10;False
2022-01-09;0;1;34;1;8;False
2022-01-10;2;1;30;0;13;False
2022-01-11;0;0;26;0;11;False
2022-01-12;0;0;70;1;9;False
2022-01-13;1;0;100;0;14;False
2022-01-14;0;0;70;0;12;False
2022-01-15;0;1;61;0;9;False
2022-01-16;0;0;53;0;10;False
2022-01-17;0;0;40;0;9;False
2022-01-18;0;0;29;2;8;False
2022-01-19;0;2;26;0;10;False
2022-01-20;0;0;26;0;8;False
2022-01-21;0;0;27;0;5;False
2022-01-22;1;0;32;0;7;False
2022-01-23;0;0;31;0;10;False
2022-01-24;0;0;32;0;14;False
2022-01-25;1;1;29;0;7;False
2022-01-26;0;0;29;0;9;False
2022-01-27;0;0;38;0;10;False
2022-01-28;0;0;30;1;7;False
2022-01-29;0;0;35;1;8;False
2022-01-30;0;0;27;2;10;False
2022-01-31;0;0;41;0;12;False
