date;Rishi Sunak;Labour;Keir Starmer;Ofsted;air travel;isPartial
2022-01-01;3;34;4;9;3;False
2022-01-02;2;39;4;12;5;False
2022-01-03;3;38;3;17;4;False
2022-01-04;5;46;17;31;4;False
2022-01-05;2;46;22;28;6;False
2022-01-06;4;42;6;27;5;False
2022-01-07;2;59;4;24;5;False
2022-01-08;2;44;4;15;6;False
2022-01-09;5;46;5;20;5;False
2022-01-10;3;52;4;36;8;False
2022-01-11;6;57;10;35;7;False
2022-01-12;27;68;25;37;6;False
2022-01-13;29;69;16;36;8;False
2022-01-14;15;66;100;28;7;False
2022-01-15;14;75;82;18;5;False
2022-01-16;9;58;42;20;6;False
2022-01-17;6;51;41;32;5;False
2022-01-18;20;50;13;33;5;False
2022-01-19;19;71;22;27;6;False
2022-01-20;9;57;9;31;4;False
2022-01-21;9;47;5;27;3;False
2022-01-22;7;41;6;17;4;False
2022-01-23;8;46;5;19;6;False
2022-01-24;10;55;6;31;8;False
2022-01-25;6;54;6;35;4;False
2022-01-26;7;56;12;28;5;False
2022-01-27;5;49;7;29;6;False
2022-01-28;5;47;8;25;4;False
2022-01-29;6;43;5;16;5;False
2022-01-30;11;41;4;18;6;False
2022-01-31;11;60;30;29;7;False
