date;Deborah Levy;QAnon;Laws of football;Glasgow Rugby;air travel;isPartial
2022-01-01;0;16;0;4;21;False
2022-01-02;0;8;4;3;38;False
2022-01-03;0;18;0;5;31;False
2022-01-04;0;15;0;6;33;False
2022-01-05;0;22;3;0;47;False
2022-01-06;0;59;3;0;37;False
2022-01-07;3;24;6;5;39;False
2022-01-08;0;20;0;18;43;False
2022-01-09;0;46;0;3;34;False
2022-01-10;0;16;0;0;59;False
2022-01-11;0;19;3;5;48;False
2022-01-12;0;18;0;0;41;False
2022-01-13;0;18;6;0;61;False
2022-01-14;0;23;0;5;51;False
2022-01-15;0;11;0;19;40;False
2022-01-16;100;14;6;0;44;False
2022-01-17;0;21;0;5;40;False
2022-01-18;3;0;0;4;36;False
2022-01-19;6;22;0;4;45;False
2022-01-20;0;8;7;7;33;False
2022-01-21;95;8;0;17;23;False
2022-01-22;0;12;4;22;32;False
2022-01-23;0;5;8;5;42;False
2022-01-24;4;9;3;0;59;False
2022-01-25;7;13;0;5;30;False
2022-01-26;3;13;3;6;39;False
2022-01-27;10;12;0;0;44;False
2022-01-28;3;5;0;12;30;False
2022-01-29;7;4;0;26;37;False
2022-01-30;0;12;0;10;44;False
2022-01-31;6;6;0;0;50;False
