date;gamestop;middle east;cinema;berkshire;air travel;isPartial
2022-01-01;1;1;66;4;1;False
2022-01-02;1;1;86;4;1;False
2022-01-03;1;1;76;5;1;False
2022-01-04;0;1;59;6;1;False
2022-01-05;1;1;44;5;1;False
2022-01-06;1;1;43;4;1;False
2022-01-07;1;1;57;5;1;False
2022-01-08;1;1;81;4;1;False
2022-01-09;0;1;54;5;1;False
2022-01-10;1;2;42;5;2;False
2022-01-11;1;2;44;5;1;False
2022-01-12;1;1;40;5;1;False
2022-01-13;1;1;45;5;1;False
2022-01-14;1;1;58;4;1;False
2022-01-15;0;4;86;5;1;False
2022-01-16;1;2;63;5;1;False
2022-01-17;1;2;40;6;1;False
2022-01-18;1;1;38;4;1;False
2022-01-19;0;1;37;4;1;False
2022-01-20;1;1;44;5;1;False
2022-01-21;1;1;58;5;0;False
2022-01-22;1;1;85;4;1;False
2022-01-23;0;1;70;5;1;False
2022-01-24;1;2;49;6;1;False
2022-01-25;1;2;37;4;1;False
2022-01-26;1;1;44;5;1;False
2022-01-27;1;1;39;5;1;False
2022-01-28;1;1;73;5;1;False
2022-01-29;1;1;100;4;1;False
2022-01-30;1;1;66;4;1;False
2022-01-31;1;2;44;5;1;False
