date;prince harry;prince philip;queen;royal family;air travel;isPartial
2022-01-01;13;2;66;5;1;False
2022-01-02;6;2;100;4;2;False
2022-01-03;4;1;62;4;1;False
2022-01-04;4;2;49;4;1;False
2022-01-05;4;1;47;3;2;False
2022-01-06;4;1;46;3;1;False
2022-01-07;3;2;50;3;2;False
2022-01-08;3;1;53;4;2;False
2022-01-09;4;1;50;5;1;False
2022-01-10;3;2;68;3;2;False
2022-01-11;3;1;49;3;2;False
2022-01-12;3;1;48;4;2;False
2022-01-13;5;3;58;7;2;False
2022-01-14;5;8;57;6;2;False
2022-01-15;5;4;56;5;2;False
2022-01-16;13;2;57;5;2;False
2022-01-17;9;1;50;4;2;False
2022-01-18;5;2;46;3;1;False
2022-01-19;4;2;42;3;2;False
2022-01-20;4;1;41;3;1;False
2022-01-21;3;1;46;3;1;False
2022-01-22;4;1;53;4;1;False
2022-01-23;4;1;47;3;2;False
2022-01-24;4;2;50;4;2;False
2022-01-25;4;1;43;3;1;False
2022-01-26;3;1;42;3;2;False
2022-01-27;3;2;40;3;2;False
2022-01-28;3;1;47;3;1;False
2022-01-29;3;1;50;4;1;False
2022-01-30;4;1;47;3;2;False
2022-01-31;3;1;46;3;2;False
