date;The Darkness;Fostering;Jez Butterworth;Soas;air travel;isPartial
2022-01-01;72;30;0;43;34;False
2022-01-02;58;50;0;41;63;False
2022-01-03;37;27;0;24;51;False
2022-01-04;38;62;0;32;54;False
2022-01-05;43;61;0;41;77;False
2022-01-06;46;56;5;11;61;False
2022-01-07;46;53;0;34;63;False
2022-01-08;82;36;6;29;71;False
2022-01-09;60;60;0;40;55;False
2022-01-10;61;65;0;44;97;False
2022-01-11;47;80;0;42;79;False
2022-01-12;49;52;0;48;67;False
2022-01-13;37;57;0;68;100;False
2022-01-14;54;36;0;16;84;False
2022-01-15;54;37;0;22;66;False
2022-01-16;60;32;0;22;72;False
2022-01-17;47;52;0;33;65;False
2022-01-18;59;87;4;53;59;False
2022-01-19;33;66;12;33;74;False
2022-01-20;31;49;0;41;54;False
2022-01-21;45;58;0;49;38;False
2022-01-22;90;45;0;28;53;False
2022-01-23;87;40;0;38;69;False
2022-01-24;72;74;5;43;97;False
2022-01-25;47;53;0;39;49;False
2022-01-26;84;59;4;40;64;False
2022-01-27;49;70;10;33;71;False
2022-01-28;45;62;0;35;49;False
2022-01-29;56;45;8;25;60;False
2022-01-30;50;43;0;24;71;False
2022-01-31;33;55;4;66;82;False
