date;Will Smith;Jennifer Hudson;Jennifer Aniston;Jared Leto;air travel;isPartial
2022-01-01;56;4;37;24;9;False
2022-01-02;50;5;32;15;18;False
2022-01-03;40;3;18;16;14;False
2022-01-04;28;2;22;12;15;False
2022-01-05;25;2;25;12;22;False
2022-01-06;30;4;27;7;17;False
2022-01-07;46;4;29;10;18;False
2022-01-08;69;4;38;13;20;False
2022-01-09;55;5;33;14;15;False
2022-01-10;51;5;25;7;27;False
2022-01-11;41;4;25;7;22;False
2022-01-12;35;2;29;12;19;False
2022-01-13;37;0;32;12;28;False
2022-01-14;42;4;31;11;23;False
2022-01-15;43;7;44;13;19;False
2022-01-16;43;3;46;10;20;False
2022-01-17;32;4;30;10;18;False
2022-01-18;38;2;32;9;16;False
2022-01-19;35;5;26;7;21;False
2022-01-20;21;5;26;12;15;False
2022-01-21;30;4;31;11;11;False
2022-01-22;44;3;38;11;15;False
2022-01-23;48;3;37;12;19;False
2022-01-24;30;3;29;11;27;False
2022-01-25;30;4;26;4;14;False
2022-01-26;25;2;26;7;18;False
2022-01-27;27;2;24;7;20;False
2022-01-28;36;2;25;14;14;False
2022-01-29;100;6;35;18;17;False
2022-01-30;48;4;40;10;20;False
2022-01-31;39;6;25;7;23;False
