date;haulage;social distancing;bbc kazakh;sabina nessa murder;air travel;isPartial
2022-01-01;25;16;0;0;39;False
2022-01-02;50;0;0;0;74;False
2022-01-03;52;9;0;14;57;False
2022-01-04;75;14;0;0;60;False
2022-01-05;79;27;0;0;85;False
2022-01-06;82;0;0;25;67;False
2022-01-07;78;0;0;0;65;False
2022-01-08;33;33;0;0;79;False
2022-01-09;56;14;0;0;49;False
2022-01-10;69;15;0;0;100;False
2022-01-11;95;17;0;0;71;False
2022-01-12;92;0;0;5;82;False
2022-01-13;76;34;0;8;94;False
2022-01-14;62;0;0;12;81;False
2022-01-15;45;18;0;0;79;False
2022-01-16;41;8;0;0;93;False
2022-01-17;83;20;0;0;58;False
2022-01-18;77;38;0;0;52;False
2022-01-19;82;18;0;6;79;False
2022-01-20;69;18;0;0;52;False
2022-01-21;71;17;0;0;51;False
2022-01-22;54;0;0;8;46;False
2022-01-23;62;13;0;0;80;False
2022-01-24;82;24;0;0;91;False
2022-01-25;81;13;0;5;55;False
2022-01-26;92;21;0;0;72;False
2022-01-27;72;22;0;0;66;False
2022-01-28;75;28;0;0;69;False
2022-01-29;49;13;0;0;55;False
2022-01-30;40;17;0;0;73;False
2022-01-31;95;0;0;0;87;False
