date;Southwark Playhouse;Romeo and Juliet;Real Madrid;Elche CF;air travel;isPartial
2022-01-01;0;5;10;0;2;False
2022-01-02;0;4;29;0;3;False
2022-01-03;1;5;9;0;3;False
2022-01-04;0;4;8;0;3;False
2022-01-05;0;7;22;0;4;False
2022-01-06;0;5;10;0;3;False
2022-01-07;0;6;8;0;3;False
2022-01-08;0;5;30;0;4;False
2022-01-09;0;6;15;0;3;False
2022-01-10;0;8;10;0;5;False
2022-01-11;0;6;9;0;4;False
2022-01-12;0;6;100;0;4;False
2022-01-13;0;9;30;0;5;False
2022-01-14;0;4;10;0;5;False
2022-01-15;1;5;11;0;4;False
2022-01-16;1;9;57;0;4;False
2022-01-17;1;9;14;0;4;False
2022-01-18;1;8;9;0;3;False
2022-01-19;0;7;8;0;4;False
2022-01-20;1;6;30;0;3;False
2022-01-21;0;7;12;0;2;False
2022-01-22;0;6;12;0;3;False
2022-01-23;0;8;32;0;4;False
2022-01-24;0;9;9;0;5;False
2022-01-25;0;7;7;1;3;False
2022-01-26;0;8;9;0;3;False
2022-01-27;0;8;6;0;4;False
2022-01-28;0;6;8;0;3;False
2022-01-29;0;6;8;0;3;False
2022-01-30;1;7;6;0;4;False
2022-01-31;0;7;12;0;5;False
