date;FTSE;Devon;Steel industry;Politics TV;air travel;isPartial
2022-01-01;10;50;0;0;1;False
2022-01-02;7;56;0;0;3;False
2022-01-03;20;49;0;0;2;False
2022-01-04;95;50;0;0;2;False
2022-01-05;84;49;0;0;3;False
2022-01-06;83;49;0;0;3;False
2022-01-07;76;50;0;0;3;False
2022-01-08;11;53;0;0;3;False
2022-01-09;9;52;0;0;2;False
2022-01-10;75;59;0;0;4;False
2022-01-11;75;50;1;0;3;False
2022-01-12;75;50;0;0;3;False
2022-01-13;87;49;0;0;4;False
2022-01-14;74;43;0;0;4;False
2022-01-15;11;54;0;0;3;False
2022-01-16;8;61;0;0;3;False
2022-01-17;85;55;0;0;3;False
2022-01-18;72;48;0;0;2;False
2022-01-19;73;46;0;0;3;False
2022-01-20;71;45;0;0;2;False
2022-01-21;76;47;0;0;2;False
2022-01-22;11;45;0;0;2;False
2022-01-23;7;50;0;0;3;False
2022-01-24;100;58;0;0;4;False
2022-01-25;79;49;0;0;2;False
2022-01-26;85;49;0;0;3;False
2022-01-27;81;46;0;0;3;False
2022-01-28;84;47;0;0;2;False
2022-01-29;10;50;0;0;3;False
2022-01-30;9;53;0;0;3;False
2022-01-31;85;49;0;0;3;False
