date;cardiff;tackling racism;child abuse inquiry;covid;air travel;isPartial
2022-01-01;5;0;0;76;0;False
2022-01-02;6;0;0;82;0;False
2022-01-03;5;0;0;94;0;False
2022-01-04;6;0;0;100;0;False
2022-01-05;5;0;0;89;0;False
2022-01-06;5;0;0;70;0;False
2022-01-07;5;0;0;68;0;False
2022-01-08;5;0;0;61;0;False
2022-01-09;6;0;0;72;0;False
2022-01-10;5;0;0;69;0;False
2022-01-11;5;0;0;62;0;False
2022-01-12;5;0;0;58;0;False
2022-01-13;5;0;0;52;0;False
2022-01-14;5;0;0;50;0;False
2022-01-15;6;0;0;47;0;False
2022-01-16;6;0;0;56;0;False
2022-01-17;5;0;0;58;0;False
2022-01-18;5;0;0;48;0;False
2022-01-19;5;0;0;94;0;False
2022-01-20;5;0;0;88;0;False
2022-01-21;5;0;0;84;0;False
2022-01-22;6;0;0;49;0;False
2022-01-23;5;0;0;49;0;False
2022-01-24;6;0;0;62;0;False
2022-01-25;5;0;0;44;0;False
2022-01-26;5;0;0;46;0;False
2022-01-27;5;0;0;41;0;False
2022-01-28;6;0;0;44;0;False
2022-01-29;6;0;0;43;0;False
2022-01-30;8;0;0;46;0;False
2022-01-31;6;0;0;52;0;False
