date;downing street parties;texas synagogue siege;malik faisal akram;paris agreement;air travel;isPartial
2022-01-01;0;4;0;0;20;False
2022-01-02;0;3;0;0;37;False
2022-01-03;0;0;0;0;30;False
2022-01-04;6;0;10;0;32;False
2022-01-05;0;0;0;8;45;False
2022-01-06;0;0;0;5;36;False
2022-01-07;0;0;0;0;37;False
2022-01-08;0;4;0;3;42;False
2022-01-09;0;8;0;0;32;False
2022-01-10;3;0;0;7;57;False
2022-01-11;14;0;0;15;46;False
2022-01-12;10;0;0;8;40;False
2022-01-13;19;0;0;4;59;False
2022-01-14;29;0;0;0;49;False
2022-01-15;14;0;4;0;39;False
2022-01-16;8;9;100;7;42;False
2022-01-17;10;8;57;3;38;False
2022-01-18;10;5;11;0;35;False
2022-01-19;3;0;9;7;44;False
2022-01-20;0;5;14;0;32;False
2022-01-21;0;3;7;3;22;False
2022-01-22;6;0;5;0;31;False
2022-01-23;0;0;0;6;40;False
2022-01-24;0;0;0;14;57;False
2022-01-25;10;0;9;12;29;False
2022-01-26;12;0;0;4;38;False
2022-01-27;0;0;0;6;42;False
2022-01-28;0;0;0;5;29;False
2022-01-29;3;0;0;4;35;False
2022-01-30;3;0;0;0;42;False
2022-01-31;16;0;0;8;49;False
