date;sport's coronavirus crisis;khloe kardashian;uk economy;west sussex;air travel;isPartial
2022-01-01;0;26;9;65;10;False
2022-01-02;0;32;9;68;21;False
2022-01-03;0;25;10;76;20;False
2022-01-04;0;100;19;73;22;False
2022-01-05;0;74;10;74;28;False
2022-01-06;0;41;15;73;22;False
2022-01-07;0;34;22;70;24;False
2022-01-08;0;28;9;64;24;False
2022-01-09;0;34;22;59;17;False
2022-01-10;0;33;23;81;30;False
2022-01-11;0;19;15;80;24;False
2022-01-12;0;30;19;69;28;False
2022-01-13;0;21;16;86;28;False
2022-01-14;0;26;20;73;29;False
2022-01-15;0;33;11;69;24;False
2022-01-16;0;40;12;74;28;False
2022-01-17;0;28;15;76;20;False
2022-01-18;0;21;26;73;21;False
2022-01-19;0;20;19;73;28;False
2022-01-20;0;28;11;72;13;False
2022-01-21;0;21;13;80;9;False
2022-01-22;0;30;12;57;23;False
2022-01-23;0;25;19;69;26;False
2022-01-24;0;25;25;88;28;False
2022-01-25;0;24;16;55;17;False
2022-01-26;0;26;24;73;22;False
2022-01-27;0;31;15;63;18;False
2022-01-28;0;43;15;75;16;False
2022-01-29;0;36;11;71;18;False
2022-01-30;0;37;13;57;22;False
2022-01-31;0;25;24;86;29;False
