date;Amitav Ghosh;Julia Garner;Sydney festival;Jacqui Lambie;air travel;isPartial
2022-01-01;0;0;0;0;34;False
2022-01-02;0;7;0;0;63;False
2022-01-03;0;0;0;0;51;False
2022-01-04;20;0;0;0;54;False
2022-01-05;17;0;0;0;77;False
2022-01-06;0;0;0;0;61;False
2022-01-07;10;0;0;4;63;False
2022-01-08;0;0;9;7;71;False
2022-01-09;0;9;0;0;55;False
2022-01-10;0;0;12;0;97;False
2022-01-11;15;0;0;0;79;False
2022-01-12;0;5;5;0;67;False
2022-01-13;0;0;0;0;100;False
2022-01-14;0;5;7;0;84;False
2022-01-15;0;0;8;0;66;False
2022-01-16;0;6;0;0;72;False
2022-01-17;6;0;0;7;65;False
2022-01-18;0;4;0;0;59;False
2022-01-19;6;5;0;0;74;False
2022-01-20;5;6;0;0;54;False
2022-01-21;7;17;0;15;38;False
2022-01-22;5;60;0;0;53;False
2022-01-23;0;49;0;0;69;False
2022-01-24;0;55;9;0;97;False
2022-01-25;16;52;0;5;49;False
2022-01-26;8;40;0;0;64;False
2022-01-27;0;37;0;0;71;False
2022-01-28;4;30;0;0;49;False
2022-01-29;0;44;0;0;60;False
2022-01-30;0;33;11;0;71;False
2022-01-31;0;35;0;0;82;False
