date;Apichatpong Weerasethakul;Rylan Clark;Immunology;Biochemistry and molecular biology;air travel;isPartial
2022-01-01;0;5;0;0;4;False
2022-01-02;0;20;3;0;8;False
2022-01-03;1;12;2;0;6;False
2022-01-04;0;10;4;0;7;False
2022-01-05;0;7;0;1;9;False
2022-01-06;0;2;4;0;8;False
2022-01-07;0;3;2;0;8;False
2022-01-08;0;7;2;0;9;False
2022-01-09;0;2;1;0;7;False
2022-01-10;1;4;3;0;12;False
2022-01-11;0;2;4;0;10;False
2022-01-12;2;3;4;0;8;False
2022-01-13;0;3;3;0;12;False
2022-01-14;1;0;2;0;10;False
2022-01-15;0;10;4;2;8;False
2022-01-16;0;17;2;0;9;False
2022-01-17;0;14;2;0;8;False
2022-01-18;1;4;4;0;7;False
2022-01-19;0;2;3;0;9;False
2022-01-20;0;5;3;0;7;False
2022-01-21;0;6;3;0;5;False
2022-01-22;0;11;2;0;7;False
2022-01-23;1;7;2;0;8;False
2022-01-24;0;4;3;1;12;False
2022-01-25;0;1;3;1;6;False
2022-01-26;0;2;4;0;8;False
2022-01-27;0;2;3;0;9;False
2022-01-28;0;6;2;0;6;False
2022-01-29;0;12;2;0;7;False
2022-01-30;0;100;1;0;9;False
2022-01-31;0;36;3;0;10;False
