date;Inmarsat;Mergers and acquisitions;Satellites;Heritage;air travel;isPartial
2022-01-01;0;0;2;82;6;False
2022-01-02;0;3;2;81;11;False
2022-01-03;2;2;2;73;11;False
2022-01-04;0;0;3;89;14;False
2022-01-05;0;0;7;80;14;False
2022-01-06;0;3;6;84;13;False
2022-01-07;0;0;4;84;14;False
2022-01-08;0;2;4;80;11;False
2022-01-09;0;0;6;77;11;False
2022-01-10;0;1;2;79;17;False
2022-01-11;1;0;6;91;13;False
2022-01-12;2;3;4;76;14;False
2022-01-13;0;2;1;79;16;False
2022-01-14;1;0;4;73;14;False
2022-01-15;0;1;2;89;12;False
2022-01-16;0;2;2;88;15;False
2022-01-17;0;0;3;83;8;False
2022-01-18;1;2;2;81;12;False
2022-01-19;1;1;6;69;12;False
2022-01-20;2;2;4;74;8;False
2022-01-21;0;2;4;75;8;False
2022-01-22;0;3;5;87;12;False
2022-01-23;0;0;4;89;13;False
2022-01-24;0;1;3;100;17;False
2022-01-25;0;2;2;75;10;False
2022-01-26;3;2;1;84;13;False
2022-01-27;1;3;5;71;11;False
2022-01-28;1;0;2;77;10;False
2022-01-29;0;2;3;88;10;False
2022-01-30;1;2;3;88;15;False
2022-01-31;1;1;3;77;15;False
