date;leicestershire;animal welfare;joe rogan;joni mitchell;air travel;isPartial
2022-01-01;12;1;11;2;2;False
2022-01-02;11;1;12;3;5;False
2022-01-03;14;0;17;1;4;False
2022-01-04;14;1;15;2;4;False
2022-01-05;15;1;13;1;6;False
2022-01-06;15;2;12;2;4;False
2022-01-07;12;4;9;1;5;False
2022-01-08;13;2;11;2;5;False
2022-01-09;13;2;8;1;4;False
2022-01-10;18;3;9;2;7;False
2022-01-11;15;3;9;1;6;False
2022-01-12;12;1;7;2;5;False
2022-01-13;14;3;9;2;7;False
2022-01-14;11;2;12;3;6;False
2022-01-15;13;2;12;5;5;False
2022-01-16;15;2;11;7;5;False
2022-01-17;16;3;11;5;5;False
2022-01-18;12;3;8;4;4;False
2022-01-19;15;2;7;4;5;False
2022-01-20;14;2;5;2;4;False
2022-01-21;12;2;8;3;3;False
2022-01-22;13;2;7;3;4;False
2022-01-23;13;2;10;5;5;False
2022-01-24;17;3;8;4;7;False
2022-01-25;14;3;20;3;4;False
2022-01-26;14;2;18;3;5;False
2022-01-27;13;2;54;2;5;False
2022-01-28;14;2;28;2;4;False
2022-01-29;13;2;100;43;4;False
2022-01-30;14;1;82;13;5;False
2022-01-31;14;2;71;10;6;False
