date;Korean food and drink;Noodles;Western Australian politics;Lindsay Lohan;air travel;isPartial
2022-01-01;0;77;0;10;6;False
2022-01-02;0;88;0;6;10;False
2022-01-03;0;96;0;10;8;False
2022-01-04;0;80;0;19;9;False
2022-01-05;0;90;0;15;13;False
2022-01-06;0;72;0;8;10;False
2022-01-07;0;80;0;8;10;False
2022-01-08;0;93;0;8;12;False
2022-01-09;0;93;0;8;9;False
2022-01-10;0;83;0;5;16;False
2022-01-11;0;81;0;6;13;False
2022-01-12;0;78;0;5;11;False
2022-01-13;0;76;0;9;17;False
2022-01-14;0;61;0;6;14;False
2022-01-15;0;100;0;7;11;False
2022-01-16;0;86;0;3;12;False
2022-01-17;0;85;0;1;11;False
2022-01-18;0;76;0;5;10;False
2022-01-19;0;70;0;3;12;False
2022-01-20;0;72;0;1;9;False
2022-01-21;0;70;0;4;6;False
2022-01-22;0;85;0;3;9;False
2022-01-23;0;90;0;6;11;False
2022-01-24;0;90;0;7;16;False
2022-01-25;0;66;0;3;8;False
2022-01-26;0;76;0;6;11;False
2022-01-27;0;72;0;5;12;False
2022-01-28;0;71;0;5;8;False
2022-01-29;0;97;0;6;10;False
2022-01-30;0;71;0;4;12;False
2022-01-31;0;83;0;4;14;False
