date;Sophie Ellis-Bextor;Isas;Meteors;Shane Warne;air travel;isPartial
2022-01-01;0;21;12;0;34;False
2022-01-02;5;27;0;0;63;False
2022-01-03;17;21;7;33;51;False
2022-01-04;0;28;9;19;54;False
2022-01-05;0;40;12;15;77;False
2022-01-06;0;59;0;21;61;False
2022-01-07;0;26;0;18;63;False
2022-01-08;0;27;0;18;71;False
2022-01-09;0;33;0;17;55;False
2022-01-10;0;28;0;0;97;False
2022-01-11;0;20;0;91;79;False
2022-01-12;0;40;14;21;67;False
2022-01-13;6;38;0;6;100;False
2022-01-14;0;6;9;21;84;False
2022-01-15;9;24;0;12;66;False
2022-01-16;0;22;0;9;72;False
2022-01-17;9;31;0;0;65;False
2022-01-18;0;16;4;0;59;False
2022-01-19;0;33;0;5;74;False
2022-01-20;0;22;0;4;54;False
2022-01-21;10;31;0;5;38;False
2022-01-22;0;27;0;5;53;False
2022-01-23;0;31;8;0;69;False
2022-01-24;0;37;0;0;97;False
2022-01-25;4;32;8;22;49;False
2022-01-26;9;34;11;6;64;False
2022-01-27;0;31;0;7;71;False
2022-01-28;0;42;0;15;49;False
2022-01-29;0;31;22;18;60;False
2022-01-30;0;28;0;21;71;False
2022-01-31;6;36;20;18;82;False
