date;John Lewis;Green Bay Packers;Los Angeles Chargers;Baltimore Ravens;air travel;isPartial
2022-01-01;100;0;0;0;1;False
2022-01-02;99;1;0;0;1;False
2022-01-03;95;2;0;0;1;False
2022-01-04;70;0;0;0;1;False
2022-01-05;64;0;0;0;2;False
2022-01-06;61;0;0;0;1;False
2022-01-07;65;0;0;0;1;False
2022-01-08;90;0;0;0;1;False
2022-01-09;79;1;0;1;1;False
2022-01-10;67;1;0;0;2;False
2022-01-11;57;1;0;0;2;False
2022-01-12;53;0;0;0;1;False
2022-01-13;56;0;0;0;2;False
2022-01-14;52;0;0;0;2;False
2022-01-15;75;0;0;0;1;False
2022-01-16;75;1;0;0;1;False
2022-01-17;56;1;0;0;1;False
2022-01-18;49;1;0;0;1;False
2022-01-19;46;0;0;0;1;False
2022-01-20;48;0;0;0;1;False
2022-01-21;48;1;0;0;1;False
2022-01-22;66;1;0;0;1;False
2022-01-23;76;5;0;0;1;False
2022-01-24;61;1;0;0;2;False
2022-01-25;48;0;0;0;1;False
2022-01-26;48;0;0;0;1;False
2022-01-27;47;0;0;0;1;False
2022-01-28;50;0;0;0;1;False
2022-01-29;67;1;0;0;1;False
2022-01-30;53;0;0;0;1;False
2022-01-31;49;0;0;0;2;False
