date;Philadelphia Eagles;Arizona Cardinals;Blogging;Amazon rainforest;air travel;isPartial
2022-01-01;6;0;12;19;34;False
2022-01-02;34;29;10;14;63;False
2022-01-03;24;29;0;18;51;False
2022-01-04;0;11;13;26;54;False
2022-01-05;8;0;0;38;77;False
2022-01-06;11;11;17;40;61;False
2022-01-07;0;15;11;47;63;False
2022-01-08;18;16;36;28;71;False
2022-01-09;25;16;17;24;55;False
2022-01-10;17;67;11;33;97;False
2022-01-11;0;11;9;56;79;False
2022-01-12;7;5;12;75;67;False
2022-01-13;11;13;6;31;100;False
2022-01-14;6;0;9;61;84;False
2022-01-15;10;7;17;16;66;False
2022-01-16;59;16;16;39;72;False
2022-01-17;11;12;9;60;65;False
2022-01-18;0;30;0;51;59;False
2022-01-19;8;8;11;50;74;False
2022-01-20;0;10;18;61;54;False
2022-01-21;0;10;0;46;38;False
2022-01-22;12;0;0;14;53;False
2022-01-23;5;0;21;39;69;False
2022-01-24;0;13;7;73;97;False
2022-01-25;0;5;7;50;49;False
2022-01-26;6;5;5;35;64;False
2022-01-27;0;5;9;52;71;False
2022-01-28;0;12;5;40;49;False
2022-01-29;11;15;5;21;60;False
2022-01-30;5;13;24;20;71;False
2022-01-31;19;6;8;12;82;False
