date;Hadrian;Sundance 2022;Sundance film festival;Festivals;air travel;isPartial
2022-01-01;7;0;3;54;15;False
2022-01-02;7;0;0;50;28;False
2022-01-03;11;0;2;57;23;False
2022-01-04;8;0;2;50;24;False
2022-01-05;3;5;3;60;35;False
2022-01-06;7;0;0;56;28;False
2022-01-07;5;0;2;55;29;False
2022-01-08;12;0;2;72;32;False
2022-01-09;7;2;0;64;25;False
2022-01-10;7;0;4;63;44;False
2022-01-11;7;0;4;56;35;False
2022-01-12;4;4;5;65;30;False
2022-01-13;12;2;0;70;45;False
2022-01-14;9;0;2;58;38;False
2022-01-15;13;0;2;71;30;False
2022-01-16;7;0;0;55;32;False
2022-01-17;9;0;0;53;29;False
2022-01-18;6;0;0;60;27;False
2022-01-19;16;2;8;56;34;False
2022-01-20;5;2;0;54;24;False
2022-01-21;8;3;0;61;17;False
2022-01-22;4;4;10;52;24;False
2022-01-23;17;0;7;71;31;False
2022-01-24;14;3;6;78;44;False
2022-01-25;9;5;3;100;22;False
2022-01-26;7;0;0;83;29;False
2022-01-27;4;2;11;77;32;False
2022-01-28;9;0;2;90;22;False
2022-01-29;9;5;5;96;27;False
2022-01-30;6;0;0;81;32;False
2022-01-31;9;0;0;66;37;False
