date;Sepsis;Sharing economy;Australian fashion;La Niña;air travel;isPartial
2022-01-01;69;2;0;0;17;False
2022-01-02;72;5;0;0;32;False
2022-01-03;80;3;14;0;26;False
2022-01-04;85;0;0;0;27;False
2022-01-05;75;0;8;0;39;False
2022-01-06;77;0;5;2;31;False
2022-01-07;68;0;0;0;32;False
2022-01-08;62;4;0;0;36;False
2022-01-09;98;0;0;0;28;False
2022-01-10;78;0;0;0;49;False
2022-01-11;75;0;0;0;40;False
2022-01-12;78;0;3;0;34;False
2022-01-13;100;5;0;5;51;False
2022-01-14;67;0;4;0;43;False
2022-01-15;68;0;0;5;34;False
2022-01-16;73;0;4;0;37;False
2022-01-17;85;0;0;0;33;False
2022-01-18;90;4;0;0;30;False
2022-01-19;91;0;0;3;38;False
2022-01-20;71;0;4;2;27;False
2022-01-21;64;6;0;0;19;False
2022-01-22;72;0;0;5;27;False
2022-01-23;85;0;0;0;35;False
2022-01-24;98;0;0;0;49;False
2022-01-25;82;0;0;4;25;False
2022-01-26;82;0;0;0;32;False
2022-01-27;64;5;0;3;36;False
2022-01-28;90;0;0;0;25;False
2022-01-29;62;0;0;0;31;False
2022-01-30;74;0;0;0;36;False
2022-01-31;74;6;0;0;42;False
