date;Heathrow Airports Authority;Chagos Islands;George Eustice;Richard Osman;air travel;isPartial
2022-01-01;0;0;4;37;24;False
2022-01-02;0;6;0;47;44;False
2022-01-03;0;0;3;53;36;False
2022-01-04;0;0;0;28;38;False
2022-01-05;0;11;0;100;54;False
2022-01-06;0;3;6;38;43;False
2022-01-07;0;4;0;27;44;False
2022-01-08;0;0;0;41;50;False
2022-01-09;0;0;0;17;38;False
2022-01-10;0;4;0;44;68;False
2022-01-11;0;0;0;26;55;False
2022-01-12;0;0;4;19;47;False
2022-01-13;0;0;0;31;70;False
2022-01-14;0;0;0;27;59;False
2022-01-15;0;0;0;38;46;False
2022-01-16;0;0;0;21;50;False
2022-01-17;0;0;0;33;45;False
2022-01-18;0;6;6;21;41;False
2022-01-19;0;12;10;18;52;False
2022-01-20;0;0;0;20;38;False
2022-01-21;0;0;0;28;27;False
2022-01-22;0;0;0;49;37;False
2022-01-23;0;5;0;32;48;False
2022-01-24;0;0;4;39;68;False
2022-01-25;0;0;4;23;34;False
2022-01-26;0;0;0;19;45;False
2022-01-27;0;0;0;28;50;False
2022-01-28;0;7;5;40;35;False
2022-01-29;0;0;0;27;42;False
2022-01-30;0;0;0;13;50;False
2022-01-31;0;0;8;35;58;False
