date;northern ireland;buckinghamshire;education;nadhim zahawi;air travel;isPartial
2022-01-01;62;8;42;0;2;False
2022-01-02;68;8;53;1;4;False
2022-01-03;70;8;58;3;3;False
2022-01-04;81;8;82;1;3;False
2022-01-05;76;8;81;2;4;False
2022-01-06;69;7;76;1;4;False
2022-01-07;70;8;73;0;4;False
2022-01-08;57;7;49;0;4;False
2022-01-09;58;8;66;9;3;False
2022-01-10;77;8;100;1;6;False
2022-01-11;66;8;92;1;5;False
2022-01-12;66;8;93;1;4;False
2022-01-13;70;8;96;1;6;False
2022-01-14;58;7;72;1;5;False
2022-01-15;54;7;54;0;4;False
2022-01-16;60;7;63;2;4;False
2022-01-17;71;9;91;13;4;False
2022-01-18;68;9;87;2;3;False
2022-01-19;61;8;81;0;4;False
2022-01-20;67;6;81;1;3;False
2022-01-21;64;8;77;1;2;False
2022-01-22;54;7;54;0;3;False
2022-01-23;64;7;58;2;4;False
2022-01-24;73;10;98;4;6;False
2022-01-25;66;7;88;1;3;False
2022-01-26;67;7;88;1;4;False
2022-01-27;62;7;81;1;4;False
2022-01-28;63;8;74;1;3;False
2022-01-29;67;6;47;0;3;False
2022-01-30;63;5;53;0;4;False
2022-01-31;68;8;81;0;5;False
