date;brighton;brits abroad;female entrepreneurs;takeaway food;air travel;isPartial
2022-01-01;51;0;0;2;1;False
2022-01-02;75;0;0;2;2;False
2022-01-03;50;0;0;2;1;False
2022-01-04;49;0;0;1;1;False
2022-01-05;49;0;0;1;2;False
2022-01-06;46;0;0;1;2;False
2022-01-07;49;0;0;1;2;False
2022-01-08;62;0;0;2;2;False
2022-01-09;52;0;0;1;1;False
2022-01-10;50;0;0;1;3;False
2022-01-11;49;0;0;1;2;False
2022-01-12;48;0;0;0;2;False
2022-01-13;54;0;0;1;3;False
2022-01-14;84;0;0;1;2;False
2022-01-15;66;0;0;2;2;False
2022-01-16;58;0;0;2;2;False
2022-01-17;51;0;0;2;2;False
2022-01-18;100;0;0;1;2;False
2022-01-19;49;0;0;1;2;False
2022-01-20;44;0;0;1;1;False
2022-01-21;48;0;0;1;1;False
2022-01-22;55;0;0;2;1;False
2022-01-23;70;0;0;1;2;False
2022-01-24;57;0;0;0;3;False
2022-01-25;46;0;0;1;1;False
2022-01-26;52;0;0;1;2;False
2022-01-27;49;0;0;1;2;False
2022-01-28;54;0;0;2;1;False
2022-01-29;58;0;0;2;2;False
2022-01-30;51;0;0;2;2;False
2022-01-31;52;0;0;1;2;False
