date;history;fish;fish farming;us capitol stormed;air travel;isPartial
2022-01-01;50;87;0;0;1;False
2022-01-02;53;75;0;0;1;False
2022-01-03;49;86;0;0;1;False
2022-01-04;52;62;0;0;1;False
2022-01-05;56;61;0;0;2;False
2022-01-06;53;60;0;0;1;False
2022-01-07;53;81;0;0;1;False
2022-01-08;55;91;0;0;2;False
2022-01-09;53;74;0;0;1;False
2022-01-10;57;65;0;0;2;False
2022-01-11;54;63;0;0;2;False
2022-01-12;56;63;0;0;1;False
2022-01-13;59;66;0;0;2;False
2022-01-14;51;74;0;0;2;False
2022-01-15;55;100;0;0;1;False
2022-01-16;59;79;0;0;2;False
2022-01-17;56;64;0;0;1;False
2022-01-18;54;61;0;0;1;False
2022-01-19;50;59;0;0;2;False
2022-01-20;51;61;0;0;1;False
2022-01-21;52;76;0;0;1;False
2022-01-22;52;81;0;0;1;False
2022-01-23;58;74;0;0;1;False
2022-01-24;68;67;0;0;2;False
2022-01-25;55;56;0;0;1;False
2022-01-26;55;58;0;0;1;False
2022-01-27;50;64;0;0;2;False
2022-01-28;57;89;0;0;1;False
2022-01-29;54;93;0;0;1;False
2022-01-30;51;79;0;0;2;False
2022-01-31;56;62;0;0;2;False
