date;Older people;Bristol;Paul Dacre;Eoin Morgan;air travel;isPartial
2022-01-01;0;71;0;0;1;False
2022-01-02;0;76;0;0;1;False
2022-01-03;1;67;0;0;1;False
2022-01-04;0;75;0;0;1;False
2022-01-05;1;69;0;0;1;False
2022-01-06;0;75;0;0;1;False
2022-01-07;1;81;0;0;1;False
2022-01-08;0;87;0;0;1;False
2022-01-09;1;78;0;0;1;False
2022-01-10;1;84;0;0;2;False
2022-01-11;1;86;0;0;2;False
2022-01-12;1;73;0;0;1;False
2022-01-13;1;79;0;0;2;False
2022-01-14;0;72;0;0;2;False
2022-01-15;0;100;0;0;1;False
2022-01-16;0;78;0;0;1;False
2022-01-17;1;80;0;0;1;False
2022-01-18;1;78;0;0;1;False
2022-01-19;1;69;0;0;1;False
2022-01-20;1;76;0;0;1;False
2022-01-21;0;76;0;0;1;False
2022-01-22;1;99;0;0;1;False
2022-01-23;1;81;0;0;1;False
2022-01-24;1;97;0;0;2;False
2022-01-25;1;86;0;0;1;False
2022-01-26;1;77;0;0;1;False
2022-01-27;1;73;0;0;1;False
2022-01-28;0;85;0;0;1;False
2022-01-29;0;97;0;0;1;False
2022-01-30;0;69;0;0;1;False
2022-01-31;1;84;0;0;2;False
