date;Oscars 2018;Las Vegas Raiders;Rallying;Jeremy Hunt;air travel;isPartial
2022-01-01;0;27;7;0;34;False
2022-01-02;0;29;10;0;63;False
2022-01-03;0;28;0;0;51;False
2022-01-04;0;15;0;0;54;False
2022-01-05;0;0;0;6;77;False
2022-01-06;0;8;6;18;61;False
2022-01-07;5;0;5;0;63;False
2022-01-08;0;7;0;17;71;False
2022-01-09;0;12;10;0;55;False
2022-01-10;0;55;15;20;97;False
2022-01-11;0;7;13;11;79;False
2022-01-12;0;6;0;21;67;False
2022-01-13;0;16;0;46;100;False
2022-01-14;0;0;9;13;84;False
2022-01-15;0;65;0;27;66;False
2022-01-16;0;29;9;10;72;False
2022-01-17;0;0;0;12;65;False
2022-01-18;0;7;8;26;59;False
2022-01-19;0;0;0;26;74;False
2022-01-20;0;6;4;7;54;False
2022-01-21;0;0;5;12;38;False
2022-01-22;0;14;16;0;53;False
2022-01-23;0;27;11;9;69;False
2022-01-24;7;9;6;6;97;False
2022-01-25;0;0;5;11;49;False
2022-01-26;0;0;6;13;64;False
2022-01-27;0;5;6;6;71;False
2022-01-28;0;14;0;0;49;False
2022-01-29;0;6;6;10;60;False
2022-01-30;0;22;6;7;71;False
2022-01-31;0;0;0;8;82;False
