date;Nauru;Great Barrier Reef;Unesco;Constitutional reform;air travel;isPartial
2022-01-01;11;22;0;0;34;False
2022-01-02;0;5;28;0;63;False
2022-01-03;5;4;14;0;51;False
2022-01-04;8;7;22;12;54;False
2022-01-05;7;11;17;0;77;False
2022-01-06;15;0;0;0;61;False
2022-01-07;0;0;31;0;63;False
2022-01-08;7;17;19;0;71;False
2022-01-09;0;13;13;0;55;False
2022-01-10;10;12;33;0;97;False
2022-01-11;0;6;24;0;79;False
2022-01-12;0;15;12;0;67;False
2022-01-13;9;7;6;9;100;False
2022-01-14;19;15;8;0;84;False
2022-01-15;9;10;17;0;66;False
2022-01-16;0;18;10;17;72;False
2022-01-17;5;6;32;4;65;False
2022-01-18;24;7;24;5;59;False
2022-01-19;4;16;14;5;74;False
2022-01-20;0;13;26;0;54;False
2022-01-21;8;13;5;0;38;False
2022-01-22;9;0;22;0;53;False
2022-01-23;4;15;18;6;69;False
2022-01-24;0;22;45;0;97;False
2022-01-25;0;27;15;0;49;False
2022-01-26;0;11;24;7;64;False
2022-01-27;7;16;15;0;71;False
2022-01-28;14;6;23;11;49;False
2022-01-29;9;6;10;0;60;False
2022-01-30;12;15;11;0;71;False
2022-01-31;0;16;0;7;82;False
