date;accessibility help;prince andrew, duke of york;ghislaine maxwell;jeffrey epstein;air travel;isPartial
2022-01-01;0;0;100;38;6;False
2022-01-02;1;0;85;35;12;False
2022-01-03;0;0;78;44;10;False
2022-01-04;0;0;64;45;9;False
2022-01-05;0;0;45;26;15;False
2022-01-06;1;0;44;15;12;False
2022-01-07;0;0;35;17;12;False
2022-01-08;0;0;28;15;12;False
2022-01-09;0;0;26;22;7;False
2022-01-10;0;0;20;14;18;False
2022-01-11;0;0;26;16;12;False
2022-01-12;2;0;28;25;13;False
2022-01-13;0;2;30;27;15;False
2022-01-14;0;0;30;26;14;False
2022-01-15;0;0;25;27;14;False
2022-01-16;0;0;26;21;15;False
2022-01-17;0;0;19;15;9;False
2022-01-18;0;0;64;61;12;False
2022-01-19;0;0;39;21;14;False
2022-01-20;0;0;26;16;9;False
2022-01-21;0;0;16;16;7;False
2022-01-22;0;1;17;18;10;False
2022-01-23;2;0;15;14;12;False
2022-01-24;0;0;19;15;16;False
2022-01-25;0;1;16;9;9;False
2022-01-26;0;0;11;11;12;False
2022-01-27;0;1;10;8;10;False
2022-01-28;0;5;9;11;9;False
2022-01-29;0;0;9;6;11;False
2022-01-30;0;0;12;9;14;False
2022-01-31;0;0;8;4;16;False
