date;Yeovil Town;Bournemouth;Donmar Warehouse;Health insurance;air travel;isPartial
2022-01-01;1;76;1;6;2;False
2022-01-02;5;79;0;6;4;False
2022-01-03;1;70;0;6;3;False
2022-01-04;1;72;1;8;3;False
2022-01-05;2;74;0;9;5;False
2022-01-06;0;73;1;9;4;False
2022-01-07;2;72;1;8;4;False
2022-01-08;11;93;0;7;4;False
2022-01-09;2;72;0;6;3;False
2022-01-10;1;77;0;9;6;False
2022-01-11;2;67;0;8;5;False
2022-01-12;1;73;0;8;4;False
2022-01-13;1;71;0;12;6;False
2022-01-14;1;71;0;7;5;False
2022-01-15;3;100;0;8;4;False
2022-01-16;2;71;0;7;4;False
2022-01-17;1;74;0;12;4;False
2022-01-18;1;70;0;7;3;False
2022-01-19;0;67;0;8;4;False
2022-01-20;1;67;0;8;3;False
2022-01-21;1;71;2;7;2;False
2022-01-22;3;93;0;6;3;False
2022-01-23;1;74;0;7;4;False
2022-01-24;1;83;0;11;6;False
2022-01-25;0;72;0;8;3;False
2022-01-26;1;68;0;8;4;False
2022-01-27;1;71;1;9;4;False
2022-01-28;1;79;1;8;3;False
2022-01-29;3;94;0;7;4;False
2022-01-30;1;75;0;7;4;False
2022-01-31;1;94;1;9;5;False
