date;turkmenistan;brazil;saudi arabia;human rights in saudi arabia;air travel;isPartial
2022-01-01;0;31;10;0;3;False
2022-01-02;1;27;10;0;6;False
2022-01-03;0;33;14;0;5;False
2022-01-04;1;34;13;0;4;False
2022-01-05;2;36;14;1;7;False
2022-01-06;2;30;17;0;6;False
2022-01-07;2;30;14;0;6;False
2022-01-08;8;44;10;0;6;False
2022-01-09;9;100;13;0;3;False
2022-01-10;7;51;15;0;9;False
2022-01-11;4;42;14;1;6;False
2022-01-12;1;36;18;0;6;False
2022-01-13;1;43;15;1;7;False
2022-01-14;1;33;14;0;7;False
2022-01-15;3;41;11;1;7;False
2022-01-16;1;36;10;0;8;False
2022-01-17;1;32;13;0;4;False
2022-01-18;1;35;13;0;6;False
2022-01-19;1;32;14;0;7;False
2022-01-20;1;32;13;0;4;False
2022-01-21;2;32;18;1;3;False
2022-01-22;1;35;13;1;5;False
2022-01-23;1;37;17;0;6;False
2022-01-24;0;38;17;0;8;False
2022-01-25;2;37;14;0;5;False
2022-01-26;1;41;13;0;6;False
2022-01-27;1;99;15;0;5;False
2022-01-28;0;76;12;0;4;False
2022-01-29;1;41;13;0;5;False
2022-01-30;1;36;14;0;7;False
2022-01-31;1;34;14;0;8;False
