date;priyanka chopra;highway code;cycling;gabby petito;air travel;isPartial
2022-01-01;4;4;31;1;2;False
2022-01-02;1;5;35;1;3;False
2022-01-03;2;5;33;1;3;False
2022-01-04;2;8;29;1;3;False
2022-01-05;1;7;28;1;4;False
2022-01-06;1;4;23;1;3;False
2022-01-07;1;5;23;0;3;False
2022-01-08;1;4;32;1;4;False
2022-01-09;2;4;31;1;3;False
2022-01-10;1;6;32;0;5;False
2022-01-11;1;5;27;0;4;False
2022-01-12;1;5;24;0;4;False
2022-01-13;2;5;29;1;5;False
2022-01-14;8;6;25;1;4;False
2022-01-15;5;8;32;0;3;False
2022-01-16;3;6;35;0;4;False
2022-01-17;3;7;29;0;3;False
2022-01-18;2;5;26;1;3;False
2022-01-19;1;6;23;1;4;False
2022-01-20;1;31;22;0;3;False
2022-01-21;25;22;24;3;2;False
2022-01-22;29;50;28;7;3;False
2022-01-23;11;25;35;1;4;False
2022-01-24;8;60;32;1;5;False
2022-01-25;6;45;31;1;3;False
2022-01-26;4;35;29;2;3;False
2022-01-27;3;22;24;1;4;False
2022-01-28;3;34;31;1;3;False
2022-01-29;3;100;33;2;3;False
2022-01-30;2;49;34;2;4;False
2022-01-31;3;26;30;5;4;False
