date;bbc;doctor who;sony;university of south wales;air travel;isPartial
2022-01-01;96;3;2;0;0;False
2022-01-02;90;2;2;0;0;False
2022-01-03;81;1;2;0;0;False
2022-01-04;91;1;2;0;0;False
2022-01-05;87;1;2;0;0;False
2022-01-06;78;1;2;0;0;False
2022-01-07;84;1;2;0;0;False
2022-01-08;94;1;2;0;0;False
2022-01-09;92;1;2;0;0;False
2022-01-10;86;1;2;0;0;False
2022-01-11;78;1;2;0;0;False
2022-01-12;86;1;2;0;0;False
2022-01-13;88;1;2;0;0;False
2022-01-14;79;1;2;0;0;False
2022-01-15;100;1;2;0;0;False
2022-01-16;95;1;2;0;0;False
2022-01-17;74;1;2;0;0;False
2022-01-18;83;1;2;0;0;False
2022-01-19;76;0;2;0;0;False
2022-01-20;81;1;2;0;0;False
2022-01-21;74;1;2;0;0;False
2022-01-22;90;1;2;0;0;False
2022-01-23;74;1;2;0;0;False
2022-01-24;77;1;2;0;0;False
2022-01-25;72;1;2;0;0;False
2022-01-26;76;1;2;0;0;False
2022-01-27;72;1;2;0;0;False
2022-01-28;70;1;2;0;0;False
2022-01-29;84;1;2;0;0;False
2022-01-30;80;1;2;0;0;False
2022-01-31;94;1;3;0;0;False
