date;AFLW;Australian rules football;Augmented reality;Circus;air travel;isPartial
2022-01-01;0;0;1;81;6;False
2022-01-02;0;0;2;87;11;False
2022-01-03;1;1;0;68;9;False
2022-01-04;0;0;4;52;10;False
2022-01-05;0;0;3;56;14;False
2022-01-06;1;0;5;51;11;False
2022-01-07;0;0;2;65;11;False
2022-01-08;0;3;1;71;13;False
2022-01-09;0;0;1;65;10;False
2022-01-10;0;1;4;52;17;False
2022-01-11;0;0;2;55;14;False
2022-01-12;2;0;5;48;12;False
2022-01-13;4;2;4;63;18;False
2022-01-14;0;1;2;61;15;False
2022-01-15;2;1;3;88;12;False
2022-01-16;1;2;0;83;13;False
2022-01-17;0;0;1;60;12;False
2022-01-18;0;0;3;56;10;False
2022-01-19;0;1;2;50;13;False
2022-01-20;0;0;5;51;10;False
2022-01-21;0;0;2;67;7;False
2022-01-22;0;0;1;79;9;False
2022-01-23;0;1;3;66;12;False
2022-01-24;0;0;5;69;17;False
2022-01-25;1;0;6;52;9;False
2022-01-26;0;0;2;54;11;False
2022-01-27;0;0;3;61;13;False
2022-01-28;1;0;3;65;9;False
2022-01-29;2;0;2;100;11;False
2022-01-30;1;0;2;69;13;False
2022-01-31;0;0;4;62;15;False
