date;Devolution;Manchester City;Ice-cream and sorbet;Tax;air travel;isPartial
2022-01-01;0;6;0;37;0;False
2022-01-02;0;3;0;40;1;False
2022-01-03;0;3;0;53;0;False
2022-01-04;0;3;0;72;0;False
2022-01-05;0;3;0;62;1;False
2022-01-06;0;3;0;62;0;False
2022-01-07;0;6;0;63;1;False
2022-01-08;0;4;0;45;1;False
2022-01-09;0;3;0;43;0;False
2022-01-10;0;3;0;66;1;False
2022-01-11;0;3;0;62;1;False
2022-01-12;0;3;0;64;1;False
2022-01-13;0;3;0;65;1;False
2022-01-14;0;3;0;55;1;False
2022-01-15;0;8;0;47;1;False
2022-01-16;0;3;0;48;1;False
2022-01-17;0;3;0;69;1;False
2022-01-18;0;3;0;64;0;False
2022-01-19;0;3;0;64;1;False
2022-01-20;0;2;0;62;0;False
2022-01-21;0;2;0;58;0;False
2022-01-22;0;6;0;48;0;False
2022-01-23;0;4;0;47;1;False
2022-01-24;0;3;0;70;1;False
2022-01-25;0;2;0;73;0;False
2022-01-26;0;3;0;70;1;False
2022-01-27;0;2;0;72;1;False
2022-01-28;0;3;0;83;0;False
2022-01-29;0;3;0;59;0;False
2022-01-30;0;3;0;64;1;False
2022-01-31;0;3;0;100;1;False
