date;Millwall;Ted Cruz;Istanbul holidays;Turkey holidays;air travel;isPartial
2022-01-01;8;0;0;4;2;False
2022-01-02;23;0;0;5;3;False
2022-01-03;7;0;1;5;3;False
2022-01-04;8;0;0;4;3;False
2022-01-05;10;0;0;5;4;False
2022-01-06;9;0;1;5;3;False
2022-01-07;16;2;1;6;3;False
2022-01-08;100;1;0;6;4;False
2022-01-09;19;2;0;8;3;False
2022-01-10;11;0;1;6;5;False
2022-01-11;9;1;1;6;4;False
2022-01-12;7;1;1;5;4;False
2022-01-13;8;1;1;6;5;False
2022-01-14;5;0;1;4;4;False
2022-01-15;28;1;0;5;4;False
2022-01-16;10;0;1;10;4;False
2022-01-17;6;0;0;6;3;False
2022-01-18;9;1;0;6;3;False
2022-01-19;9;1;0;5;4;False
2022-01-20;8;0;0;5;3;False
2022-01-21;8;1;0;5;2;False
2022-01-22;16;0;1;6;3;False
2022-01-23;8;0;0;8;4;False
2022-01-24;8;0;1;7;5;False
2022-01-25;7;1;1;6;3;False
2022-01-26;6;0;0;6;3;False
2022-01-27;8;0;0;5;4;False
2022-01-28;11;0;0;6;3;False
2022-01-29;29;1;1;6;3;False
2022-01-30;10;0;0;8;4;False
2022-01-31;15;0;0;6;4;False
