date;black lives matter;billie eilish;hugh jackman;jimmy fallon;air travel;isPartial
2022-01-01;6;87;35;21;18;False
2022-01-02;7;100;39;21;33;False
2022-01-03;0;63;26;14;27;False
2022-01-04;8;63;29;6;28;False
2022-01-05;13;65;21;17;40;False
2022-01-06;10;82;9;12;32;False
2022-01-07;4;54;17;15;33;False
2022-01-08;6;88;46;14;37;False
2022-01-09;9;75;20;20;29;False
2022-01-10;4;68;24;21;50;False
2022-01-11;8;55;18;15;41;False
2022-01-12;11;64;15;16;35;False
2022-01-13;6;88;55;11;52;False
2022-01-14;16;66;26;10;44;False
2022-01-15;11;81;33;9;34;False
2022-01-16;0;88;83;24;38;False
2022-01-17;9;82;23;17;34;False
2022-01-18;10;57;23;11;31;False
2022-01-19;6;57;20;5;39;False
2022-01-20;11;59;16;12;28;False
2022-01-21;12;75;20;17;20;False
2022-01-22;11;66;36;19;28;False
2022-01-23;8;85;35;22;36;False
2022-01-24;9;74;19;12;51;False
2022-01-25;13;60;14;14;26;False
2022-01-26;11;55;12;21;33;False
2022-01-27;10;60;24;16;37;False
2022-01-28;11;86;24;12;26;False
2022-01-29;6;91;36;6;31;False
2022-01-30;10;63;15;7;37;False
2022-01-31;7;52;15;15;43;False
