date;Witness K case;Stonehenge;Cryptocurrencies;Lunar new year;air travel;isPartial
2022-01-01;0;19;1;4;7;False
2022-01-02;0;18;2;3;14;False
2022-01-03;0;19;4;3;11;False
2022-01-04;0;15;2;5;12;False
2022-01-05;0;12;0;6;17;False
2022-01-06;0;15;4;8;13;False
2022-01-07;0;11;0;8;14;False
2022-01-08;0;19;2;3;16;False
2022-01-09;0;16;0;5;12;False
2022-01-10;0;19;1;2;21;False
2022-01-11;0;16;1;7;17;False
2022-01-12;0;14;2;6;15;False
2022-01-13;0;17;1;9;22;False
2022-01-14;0;11;4;10;18;False
2022-01-15;0;17;2;8;14;False
2022-01-16;0;18;3;10;16;False
2022-01-17;0;17;2;8;14;False
2022-01-18;0;17;1;9;13;False
2022-01-19;0;6;0;6;16;False
2022-01-20;0;13;4;11;12;False
2022-01-21;0;13;3;8;8;False
2022-01-22;0;18;2;10;12;False
2022-01-23;0;19;3;12;15;False
2022-01-24;0;21;2;19;21;False
2022-01-25;0;12;1;28;11;False
2022-01-26;0;8;1;21;14;False
2022-01-27;0;12;0;23;16;False
2022-01-28;0;15;0;34;11;False
2022-01-29;0;15;2;42;13;False
2022-01-30;0;24;0;35;16;False
2022-01-31;0;13;3;100;18;False
