date;Snacks;Allotments;Grange Hill;De La Rue;air travel;isPartial
2022-01-01;39;3;6;1;5;False
2022-01-02;47;2;3;1;10;False
2022-01-03;48;3;4;2;8;False
2022-01-04;45;5;6;0;8;False
2022-01-05;52;5;9;2;12;False
2022-01-06;42;3;21;4;10;False
2022-01-07;38;2;100;2;10;False
2022-01-08;39;2;26;2;11;False
2022-01-09;45;5;14;2;9;False
2022-01-10;57;6;29;3;15;False
2022-01-11;47;7;16;3;12;False
2022-01-12;37;4;8;3;11;False
2022-01-13;38;2;7;2;16;False
2022-01-14;36;6;9;2;13;False
2022-01-15;45;4;7;1;10;False
2022-01-16;55;9;12;4;11;False
2022-01-17;46;7;7;1;10;False
2022-01-18;42;3;6;5;9;False
2022-01-19;37;4;5;3;12;False
2022-01-20;34;3;5;3;8;False
2022-01-21;36;5;6;0;6;False
2022-01-22;34;4;4;3;8;False
2022-01-23;44;4;8;0;11;False
2022-01-24;53;6;6;11;15;False
2022-01-25;46;3;7;4;8;False
2022-01-26;46;6;5;3;10;False
2022-01-27;39;3;4;2;11;False
2022-01-28;39;7;5;3;8;False
2022-01-29;35;7;5;2;9;False
2022-01-30;37;4;8;2;11;False
2022-01-31;50;4;6;2;13;False
