date;children;social care;pyongyang;croatia;air travel;isPartial
2022-01-01;56;3;0;5;1;False
2022-01-02;61;4;0;5;1;False
2022-01-03;100;5;0;7;1;False
2022-01-04;61;8;0;5;1;False
2022-01-05;60;9;0;6;2;False
2022-01-06;55;9;0;6;1;False
2022-01-07;54;8;0;6;1;False
2022-01-08;59;6;0;8;2;False
2022-01-09;61;7;0;9;1;False
2022-01-10;62;11;0;8;2;False
2022-01-11;61;11;0;8;2;False
2022-01-12;58;10;0;6;1;False
2022-01-13;68;11;0;7;2;False
2022-01-14;54;9;0;11;2;False
2022-01-15;62;5;0;11;1;False
2022-01-16;66;6;0;15;2;False
2022-01-17;62;11;0;12;1;False
2022-01-18;60;10;0;8;1;False
2022-01-19;52;10;0;7;2;False
2022-01-20;53;9;0;7;1;False
2022-01-21;54;9;0;7;1;False
2022-01-22;62;4;0;8;1;False
2022-01-23;71;5;0;10;1;False
2022-01-24;73;11;0;11;2;False
2022-01-25;57;10;0;8;1;False
2022-01-26;59;11;0;8;1;False
2022-01-27;58;9;0;7;2;False
2022-01-28;54;8;0;7;1;False
2022-01-29;65;4;0;9;1;False
2022-01-30;61;5;0;9;2;False
2022-01-31;60;10;0;8;2;False
