date;sweden;chernobyl;unemployment;gambling;air travel;isPartial
2022-01-01;62;67;7;30;9;False
2022-01-02;68;32;13;29;16;False
2022-01-03;76;22;8;34;13;False
2022-01-04;69;27;18;37;14;False
2022-01-05;77;24;15;33;20;False
2022-01-06;76;23;17;20;16;False
2022-01-07;68;22;20;23;16;False
2022-01-08;66;20;15;28;18;False
2022-01-09;75;20;13;18;14;False
2022-01-10;87;26;25;27;25;False
2022-01-11;81;21;23;24;20;False
2022-01-12;74;21;21;25;17;False
2022-01-13;84;27;19;32;25;False
2022-01-14;71;16;15;31;21;False
2022-01-15;76;22;14;29;17;False
2022-01-16;63;31;14;19;18;False
2022-01-17;74;19;24;31;17;False
2022-01-18;64;21;23;33;15;False
2022-01-19;75;23;23;24;19;False
2022-01-20;72;19;18;27;14;False
2022-01-21;79;22;18;25;10;False
2022-01-22;61;21;7;34;13;False
2022-01-23;74;31;14;25;17;False
2022-01-24;100;29;23;41;25;False
2022-01-25;74;29;23;29;13;False
2022-01-26;73;24;16;43;16;False
2022-01-27;78;25;20;35;18;False
2022-01-28;83;27;13;30;13;False
2022-01-29;64;21;11;26;15;False
2022-01-30;68;33;10;28;18;False
2022-01-31;76;32;24;33;21;False
