date;BHP;Leo Tolstoy;Paula Rego;Neuroscience;air travel;isPartial
2022-01-01;61;0;3;14;18;False
2022-01-02;72;0;15;8;33;False
2022-01-03;80;5;5;13;27;False
2022-01-04;70;0;4;17;28;False
2022-01-05;71;0;0;26;41;False
2022-01-06;62;0;0;26;32;False
2022-01-07;76;0;0;15;33;False
2022-01-08;65;3;10;10;38;False
2022-01-09;69;0;5;20;29;False
2022-01-10;80;10;2;16;51;False
2022-01-11;88;0;2;19;42;False
2022-01-12;92;5;0;19;36;False
2022-01-13;94;0;0;26;53;False
2022-01-14;74;2;0;14;44;False
2022-01-15;90;3;3;16;35;False
2022-01-16;100;3;0;33;38;False
2022-01-17;82;0;0;26;34;False
2022-01-18;83;0;6;20;31;False
2022-01-19;73;0;3;16;39;False
2022-01-20;83;0;0;26;28;False
2022-01-21;99;2;0;22;20;False
2022-01-22;80;0;4;14;28;False
2022-01-23;70;3;4;19;36;False
2022-01-24;79;0;3;21;51;False
2022-01-25;65;4;0;13;26;False
2022-01-26;85;11;2;19;34;False
2022-01-27;79;0;2;14;38;False
2022-01-28;86;0;0;21;26;False
2022-01-29;71;0;4;6;32;False
2022-01-30;70;0;3;13;38;False
2022-01-31;90;0;3;25;44;False
