date;philippines;prince andrew;weather;arthur labinjo-hughes;air travel;isPartial
2022-01-01;0;2;68;0;0;False
2022-01-02;1;2;73;0;0;False
2022-01-03;1;3;65;0;0;False
2022-01-04;1;5;91;0;0;False
2022-01-05;1;6;77;0;0;False
2022-01-06;1;4;100;0;0;False
2022-01-07;1;3;93;0;0;False
2022-01-08;1;2;93;0;0;False
2022-01-09;1;2;64;0;0;False
2022-01-10;1;2;61;0;0;False
2022-01-11;1;2;57;0;0;False
2022-01-12;1;4;49;0;0;False
2022-01-13;1;11;54;0;0;False
2022-01-14;1;7;54;0;0;False
2022-01-15;1;4;58;0;0;False
2022-01-16;1;3;70;0;0;False
2022-01-17;1;2;59;0;0;False
2022-01-18;1;2;55;0;0;False
2022-01-19;1;2;55;0;0;False
2022-01-20;1;1;52;0;0;False
2022-01-21;1;1;52;0;0;False
2022-01-22;1;1;49;0;0;False
2022-01-23;1;1;49;0;0;False
2022-01-24;1;1;51;0;0;False
2022-01-25;1;1;48;0;0;False
2022-01-26;1;1;51;0;0;False
2022-01-27;1;1;49;0;0;False
2022-01-28;1;1;63;0;0;False
2022-01-29;1;1;91;0;0;False
2022-01-30;1;1;73;0;0;False
2022-01-31;1;1;70;0;0;False
