date;Ofgem;Sports rights;Finances;Blockchain;air travel;isPartial
2022-01-01;2;0;3;44;14;False
2022-01-02;4;0;6;54;27;False
2022-01-03;6;2;5;46;22;False
2022-01-04;16;4;15;82;23;False
2022-01-05;13;0;13;62;33;False
2022-01-06;32;0;15;80;26;False
2022-01-07;15;0;12;78;27;False
2022-01-08;8;4;9;56;30;False
2022-01-09;10;5;12;40;24;False
2022-01-10;15;8;15;76;41;False
2022-01-11;21;4;18;70;34;False
2022-01-12;11;0;9;63;29;False
2022-01-13;24;0;7;80;43;False
2022-01-14;12;2;4;82;36;False
2022-01-15;0;0;12;45;28;False
2022-01-16;6;0;14;48;31;False
2022-01-17;32;0;20;80;28;False
2022-01-18;31;0;9;65;25;False
2022-01-19;15;3;10;75;32;False
2022-01-20;27;0;6;62;23;False
2022-01-21;20;0;14;75;16;False
2022-01-22;7;3;6;45;23;False
2022-01-23;6;0;6;43;29;False
2022-01-24;18;0;20;100;41;False
2022-01-25;22;4;14;77;21;False
2022-01-26;21;0;16;71;27;False
2022-01-27;19;0;16;65;31;False
2022-01-28;12;0;7;64;21;False
2022-01-29;6;0;8;44;26;False
2022-01-30;5;0;9;45;30;False
2022-01-31;20;0;11;62;35;False
